No.,  value_difference,  order difference, matrix difference, 
0,0.01833587910481026,2.0,tensor(5.1154, dtype=torch.float64)
1,0.023615575394181798,6.5,tensor(2.9236, dtype=torch.float64)
2,0.04001140110077589,4.0,tensor(4.8287, dtype=torch.float64)
3,0.01356676464646201,2.0,tensor(1.7334, dtype=torch.float64)
4,0.01150052999313437,2.0,tensor(2.6818, dtype=torch.float64)
5,0.014472592795506209,4.0,tensor(4.3042, dtype=torch.float64)
6,0.017596397526755514,2.0,tensor(3.0130, dtype=torch.float64)
7,0.03339298319745066,3.5,tensor(3.2655, dtype=torch.float64)
8,0.02465593147623178,4.5,tensor(6.6182, dtype=torch.float64)
9,0.019025153676344733,4.0,tensor(5.9632, dtype=torch.float64)
10,0.017905425061350212,0.0,tensor(1.9680, dtype=torch.float64)
11,0.030549256634601316,7.5,tensor(6.6693, dtype=torch.float64)
12,0.0321776328923585,2.0,tensor(2.6450, dtype=torch.float64)
13,0.029597324441910922,4.5,tensor(4.6590, dtype=torch.float64)
14,0.013200068059344153,2.0,tensor(2.4722, dtype=torch.float64)
15,0.014102642891634518,2.0,tensor(1.8017, dtype=torch.float64)
16,0.022369653320371857,0.0,tensor(3.8823, dtype=torch.float64)
17,0.02404616790204857,4.0,tensor(3.1650, dtype=torch.float64)
18,0.013762974492303343,7.5,tensor(0.7039, dtype=torch.float64)
19,0.009243028272201446,2.0,tensor(3.2408, dtype=torch.float64)
20,0.01442530080870914,4.5,tensor(3.9338, dtype=torch.float64)
